word,verse,lemma,strongs,morph,morphology,Part of Speech,Tense,Voice,Mood,Person,Number,Case,Gender,xlit,betacode
הָאָבְנָ֑יִם,16,d/70,H70,HTd/Ncmda,HTd/Ncmda,Noun (Common),,,,,Dual,Absolute,Masculine,,
אִם,16,518 a,H518,HC,HC,Conjunction,,,,,,,,,
בֵּ֥ן,16,1121 a,H1121,HNcmsa,HNcmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
הוּא֙,16,1931,H1931,HPp3ms,HPp3ms,Pronoun (Personal),,,,3,Singular,,Masculine,,
וַהֲמִתֶּ֣ן,16,c/4191,H4191,HC/Vhq2fp,HC/Vhq2fp,Verb,Sequential perfect,Hiphil,Indicative,2,Plural,,Feminine,,
אֹת֔וֹ,16,853,H853,HTo/Sp3ms,HTo/Sp3ms,Suffix (Pronominal),,,,3,Singular,,Masculine,,
וְאִם,16,c/518 a,H518,HC/C,HC/C,Conjunction,,,,,,,,,
בַּ֥ת,16,1323,H1323,HNcfsa,HNcfsa,Noun (Common),,,,,Singular,Absolute,Feminine,,
הִ֖יא,16,1931,H1931,HPp3fs,HPp3fs,Pronoun (Personal),,,,3,Singular,,Feminine,,
וָחָֽיָה,16,c/2425,H2425,HC/Vqq3fs,HC/Vqq3fs,Verb,Sequential perfect,Qal,Indicative,3,Singular,,Feminine,,
וַתִּירֶ֤אןָ,17,c/3372,H3372,HC/Vqw3fp,HC/Vqw3fp,Verb,Sequential imperfect,Qal,Indicative,3,Plural,,Feminine,,
הַֽמְיַלְּדֹת֙,17,d/3205,H3205,HTd/Vprfpa,HTd/Vprfpa,Verb,Participle active,Piel,Participle,,Plural,Absolute,Feminine,,
אֶת,17,853,H853,HTo,HTo,Particle (Direct object marker),,,,,,,,,
הָ֣אֱלֹהִ֔ים,17,d/430,H430,HTd/Ncmpa,HTd/Ncmpa,Noun (Common),,,,,Plural,Absolute,Masculine,,
וְלֹ֣א,17,c/3808,H3808,HC/Tn,HC/Tn,Particle (Negative),,,,,,,,,
עָשׂ֔וּ,17,6213 a,H6213,HVqp3cp,HVqp3cp,Verb,Perfect,Qal,Indicative,3,Plural,,Common,,
כַּאֲשֶׁ֛ר,17,k/834 d,H834,HR/Tr,HR/Tr,Particle (Relative),,,,,,,,,
דִּבֶּ֥ר,17,1696,H1696,HVpp3ms,HVpp3ms,Verb,Perfect,Piel,Indicative,3,Singular,,Masculine,,
אֲלֵיהֶ֖ן,17,413,H413,HR/Sp3fp,HR/Sp3fp,Suffix (Pronominal),,,,3,Plural,,Feminine,,
מֶ֣לֶךְ,17,4428,H4428,HNcmsc,HNcmsc,Noun (Common),,,,,Singular,Construct,Masculine,,
מִצְרָ֑יִם,17,4714,H4714,HNp,HNp,Noun (Proper name),,,,,,,,,
וַתְּחַיֶּ֖יןָ,17,c/2421,H2421,HC/Vpw3fp,HC/Vpw3fp,Verb,Sequential imperfect,Piel,Indicative,3,Plural,,Feminine,,
אֶת,17,853,H853,HTo,HTo,Particle (Direct object marker),,,,,,,,,
הַיְלָדִֽים,17,d/3206,H3206,HTd/Ncmpa,HTd/Ncmpa,Noun (Common),,,,,Plural,Absolute,Masculine,,
וַיִּקְרָ֤א,18,c/7121,H7121,HC/Vqw3ms,HC/Vqw3ms,Verb,Sequential imperfect,Qal,Indicative,3,Singular,,Masculine,,
מֶֽלֶךְ,18,4428,H4428,HNcmsc,HNcmsc,Noun (Common),,,,,Singular,Construct,Masculine,,
מִצְרַ֨יִם֙,18,4714,H4714,HNp,HNp,Noun (Proper name),,,,,,,,,
לַֽמְיַלְּדֹ֔ת,18,l/3205,H3205,HRd/Vprfpa,HRd/Vprfpa,Verb,Participle active,Piel,Participle,,Plural,Absolute,Feminine,,
וַיֹּ֣אמֶר,18,c/559,H559,HC/Vqw3ms,HC/Vqw3ms,Verb,Sequential imperfect,Qal,Indicative,3,Singular,,Masculine,,
לָהֶ֔ן,18,l,,HR/Sp3fp,HR/Sp3fp,Suffix (Pronominal),,,,3,Plural,,Feminine,,
מַדּ֥וּעַ,18,4069,H4069,HTi,HTi,Particle (Interrogative),,,,,,,,,
עֲשִׂיתֶ֖ן,18,6213 a,H6213,HVqp2fp,HVqp2fp,Verb,Perfect,Qal,Indicative,2,Plural,,Feminine,,
הַדָּבָ֣ר,18,d/1697,H1697,HTd/Ncmsa,HTd/Ncmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
הַזֶּ֑ה,18,d/2088,H2088,HTd/Pdxms,HTd/Pdxms,Pronoun (Demonstrative),,,,x,Singular,,Masculine,,
וַתְּחַיֶּ֖יןָ,18,c/2421,H2421,HC/Vpw2fp,HC/Vpw2fp,Verb,Sequential imperfect,Piel,Indicative,2,Plural,,Feminine,,
אֶת,18,853,H853,HTo,HTo,Particle (Direct object marker),,,,,,,,,
הַיְלָדִֽים,18,d/3206,H3206,HTd/Ncmpa,HTd/Ncmpa,Noun (Common),,,,,Plural,Absolute,Masculine,,
וַתֹּאמַ֤רְןָ,19,c/559,H559,HC/Vqw3fp,HC/Vqw3fp,Verb,Sequential imperfect,Qal,Indicative,3,Plural,,Feminine,,
הַֽמְיַלְּדֹת֙,19,d/3205,H3205,HTd/Vprfpa,HTd/Vprfpa,Verb,Participle active,Piel,Participle,,Plural,Absolute,Feminine,,
אֶל,19,413,H413,HR,HR,Preposition,,,,,,,,,
פַּרְעֹ֔ה,19,6547,H6547,HNp,HNp,Noun (Proper name),,,,,,,,,
כִּ֣י,19,3588 a,H3588,HC,HC,Conjunction,,,,,,,,,
לֹ֧א,19,3808,H3808,HTn,HTn,Particle (Negative),,,,,,,,,
כַנָּשִׁ֛ים,19,k/802,H802,HRd/Ncfpa,HRd/Ncfpa,Noun (Common),,,,,Plural,Absolute,Feminine,,
הַמִּצְרִיֹּ֖ת,19,d/4713,H4713,HTd/Ngfpa,HTd/Ngfpa,Noun (Gentilic),,,,,Plural,Absolute,Feminine,,
הָֽעִבְרִיֹּ֑ת,19,d/5680,H5680,HTd/Ngfpa,HTd/Ngfpa,Noun (Gentilic),,,,,Plural,Absolute,Feminine,,
כִּֽי,19,3588 a,H3588,HC,HC,Conjunction,,,,,,,,,
חָי֣וֹת,19,2422,H2422,HAafpa,HAafpa,Adjective,,,,,Plural,Absolute,Feminine,,
הֵ֔נָּה,19,2007,H2007,HPp3fp,HPp3fp,Pronoun (Personal),,,,3,Plural,,Feminine,,
בְּטֶ֨רֶם,19,b/2962,H2962,HR/D,HR/D,Adverb,,,,,,,,,
תָּב֧וֹא,19,935,H935,HVqi3fs,HVqi3fs,Verb,Imperfect,Qal,Indicative,3,Singular,,Feminine,,
אֲלֵהֶ֛ן,19,413,H413,HR/Sp3fp,HR/Sp3fp,Suffix (Pronominal),,,,3,Plural,,Feminine,,
הַמְיַלֶּ֖דֶת,19,d/3205,H3205,HTd/Vprfsa,HTd/Vprfsa,Verb,Participle active,Piel,Participle,,Singular,Absolute,Feminine,,
