key,word,verse,word_num,lemma,strongs,morph,morphology,Part of Speech,Tense,Voice,Mood,Person,Number,Case,Gender,xlit,betacode
WLC-Exod-025-012-002,לּ֗וֹ,12,2,l,,HR/Sp3ms,HR/Sp3ms,Suffix (Pronominal),,,,3,Singular,,Masculine,,
WLC-Exod-025-012-003,אַרְבַּע֙,12,3,702,H702,HAcfsa,HAcfsa,Adjective,,,,,Singular,Absolute,Feminine,,
WLC-Exod-025-012-004,טַבְּעֹ֣ת,12,4,2885,H2885,HNcfpc,HNcfpc,Noun (Common),,,,,Plural,Construct,Feminine,,
WLC-Exod-025-012-005,זָהָ֔ב,12,5,2091,H2091,HNcmsa,HNcmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
WLC-Exod-025-012-006,וְנָ֣תַתָּ֔ה,12,6,c/5414,H5414,HC/Vqq2ms,HC/Vqq2ms,Verb,Sequential perfect,Qal,Indicative,2,Singular,,Masculine,,
WLC-Exod-025-012-007,עַ֖ל,12,7,5921 a,H5921,HR,HR,Preposition,,,,,,,,,
WLC-Exod-025-012-008,אַרְבַּ֣ע,12,8,702,H702,HAcfsa,HAcfsa,Adjective,,,,,Singular,Absolute,Feminine,,
WLC-Exod-025-012-009,פַּעֲמֹתָ֑יו,12,9,6471,H6471,HNcfpc/Sp3ms,HNcfpc/Sp3ms,Suffix (Pronominal),,,,3,Singular,Construct,Masculine,,
WLC-Exod-025-012-010,וּשְׁתֵּ֣י,12,10,c/8147,H8147,HC/Acfdc,HC/Acfdc,c,,,,,,,,,
WLC-Exod-025-012-011,טַבָּעֹ֗ת,12,11,2885,H2885,HNcfpa,HNcfpa,Noun (Common),,,,,Plural,Absolute,Feminine,,
WLC-Exod-025-012-012,עַל,12,12,5921 a,H5921,HR,HR,Preposition,,,,,,,,,
WLC-Exod-025-012-013,צַלְעוֹ֙,12,13,6763,H6763,HNcbsc/Sp3ms,HNcbsc/Sp3ms,Suffix (Pronominal),,,,3,Singular,Construct,Masculine,,
WLC-Exod-025-012-014,הָֽאֶחָ֔ת,12,14,d/259,H259,HTd/Acfsa,HTd/Acfsa,c,,,,,,,,,
WLC-Exod-025-012-015,וּשְׁתֵּי֙,12,15,c/8147,H8147,HC/Acfdc,HC/Acfdc,c,,,,,,,,,
WLC-Exod-025-012-016,טַבָּעֹ֔ת,12,16,2885,H2885,HNcfpa,HNcfpa,Noun (Common),,,,,Plural,Absolute,Feminine,,
WLC-Exod-025-012-017,עַל,12,17,5921 a,H5921,HR,HR,Preposition,,,,,,,,,
WLC-Exod-025-012-018,צַלְע֖וֹ,12,18,6763,H6763,HNcbsc/Sp3ms,HNcbsc/Sp3ms,Suffix (Pronominal),,,,3,Singular,Construct,Masculine,,
WLC-Exod-025-012-019,הַשֵּׁנִֽית,12,19,d/8145,H8145,HTd/Aofsa,HTd/Aofsa,o,,,,,,,,,
13,13,13,,,,,,,,,,,,,,,
WLC-Exod-025-013-001,וְעָשִׂ֥יתָ,13,1,c/6213 a,H6213,HC/Vqq2ms,HC/Vqq2ms,Verb,Sequential perfect,Qal,Indicative,2,Singular,,Masculine,,
WLC-Exod-025-013-002,בַדֵּ֖י,13,2,905,H905,HNcmpc,HNcmpc,Noun (Common),,,,,Plural,Construct,Masculine,,
WLC-Exod-025-013-003,עֲצֵ֣י,13,3,6086,H6086,HNcmpc,HNcmpc,Noun (Common),,,,,Plural,Construct,Masculine,,
WLC-Exod-025-013-004,שִׁטִּ֑ים,13,4,7848,H7848,HNcfpa,HNcfpa,Noun (Common),,,,,Plural,Absolute,Feminine,,
WLC-Exod-025-013-005,וְצִפִּיתָ֥,13,5,c/6823,H6823,HC/Vpq2ms,HC/Vpq2ms,Verb,Sequential perfect,Piel,Indicative,2,Singular,,Masculine,,
WLC-Exod-025-013-006,אֹתָ֖ם,13,6,853,H853,HTo/Sp3mp,HTo/Sp3mp,Suffix (Pronominal),,,,3,Plural,,Masculine,,
WLC-Exod-025-013-007,זָהָֽב,13,7,2091,H2091,HNcmsa,HNcmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
14,14,14,,,,,,,,,,,,,,,
WLC-Exod-025-014-001,וְהֵֽבֵאתָ֤,14,1,c/935,H935,HC/Vhq2ms,HC/Vhq2ms,Verb,Sequential perfect,Hiphil,Indicative,2,Singular,,Masculine,,
WLC-Exod-025-014-002,אֶת,14,2,853,H853,HTo,HTo,Particle (Direct object marker),,,,,,,,,
WLC-Exod-025-014-003,הַבַּדִּים֙,14,3,d/905,H905,HTd/Ncmpa,HTd/Ncmpa,Noun (Common),,,,,Plural,Absolute,Masculine,,
WLC-Exod-025-014-004,בַּטַּבָּעֹ֔ת,14,4,b/2885,H2885,HRd/Ncfpa,HRd/Ncfpa,Noun (Common),,,,,Plural,Absolute,Feminine,,
WLC-Exod-025-014-005,עַ֖ל,14,5,5921 a,H5921,HR,HR,Preposition,,,,,,,,,
WLC-Exod-025-014-006,צַלְעֹ֣ת,14,6,6763,H6763,HNcbpc,HNcbpc,Noun (Common),,,,,Plural,Construct,Both,,
WLC-Exod-025-014-007,הָאָרֹ֑ן,14,7,d/727,H727,HTd/Ncbsa,HTd/Ncbsa,Noun (Common),,,,,Singular,Absolute,Both,,
WLC-Exod-025-014-008,לָשֵׂ֥את,14,8,l/5375,H5375,HR/Vqc,HR/Vqc,Verb,Infinitive construct,Qal,Infinitive,,,,,,
WLC-Exod-025-014-009,אֶת,14,9,853,H853,HTo,HTo,Particle (Direct object marker),,,,,,,,,
WLC-Exod-025-014-010,הָאָרֹ֖ן,14,10,d/727,H727,HTd/Ncbsa,HTd/Ncbsa,Noun (Common),,,,,Singular,Absolute,Both,,
WLC-Exod-025-014-011,בָּהֶֽם,14,11,b,,HR/Sp3mp,HR/Sp3mp,Suffix (Pronominal),,,,3,Plural,,Masculine,,
15,15,15,,,,,,,,,,,,,,,
WLC-Exod-025-015-001,בְּטַבְּעֹת֙,15,1,b/2885,H2885,HR/Ncfpc,HR/Ncfpc,Noun (Common),,,,,Plural,Construct,Feminine,,
WLC-Exod-025-015-002,הָאָרֹ֔ן,15,2,d/727,H727,HTd/Ncbsa,HTd/Ncbsa,Noun (Common),,,,,Singular,Absolute,Both,,
WLC-Exod-025-015-003,יִהְי֖וּ,15,3,1961,H1961,HVqi3mp,HVqi3mp,Verb,Imperfect,Qal,Indicative,3,Plural,,Masculine,,
WLC-Exod-025-015-004,הַבַּדִּ֑ים,15,4,d/905,H905,HTd/Ncmpa,HTd/Ncmpa,Noun (Common),,,,,Plural,Absolute,Masculine,,
WLC-Exod-025-015-005,לֹ֥א,15,5,3808,H3808,HTn,HTn,Particle (Negative),,,,,,,,,
WLC-Exod-025-015-006,יָסֻ֖רוּ,15,6,5493,H5493,HVqi3mp,HVqi3mp,Verb,Imperfect,Qal,Indicative,3,Plural,,Masculine,,
WLC-Exod-025-015-007,מִמֶּֽנּוּ,15,7,4480 a,H4480,HR/Sp3ms,HR/Sp3ms,Suffix (Pronominal),,,,3,Singular,,Masculine,,
16,16,16,,,,,,,,,,,,,,,
WLC-Exod-025-016-001,וְנָתַתָּ֖,16,1,c/5414,H5414,HC/Vqq2ms,HC/Vqq2ms,Verb,Sequential perfect,Qal,Indicative,2,Singular,,Masculine,,
WLC-Exod-025-016-002,אֶל,16,2,413,H413,HR,HR,Preposition,,,,,,,,,
WLC-Exod-025-016-003,הָאָרֹ֑ן,16,3,d/727,H727,HTd/Ncbsa,HTd/Ncbsa,Noun (Common),,,,,Singular,Absolute,Both,,
WLC-Exod-025-016-004,אֵ֚ת,16,4,853,H853,HTo,HTo,Particle (Direct object marker),,,,,,,,,
WLC-Exod-025-016-005,הָעֵדֻ֔ת,16,5,d/5715,H5715,HTd/Ncfsa,HTd/Ncfsa,Noun (Common),,,,,Singular,Absolute,Feminine,,
WLC-Exod-025-016-006,אֲשֶׁ֥ר,16,6,834 a,H834,HTr,HTr,Particle (Relative),,,,,,,,,
WLC-Exod-025-016-007,אֶתֵּ֖ן,16,7,5414,H5414,HVqi1cs,HVqi1cs,Verb,Imperfect,Qal,Indicative,1,Singular,,Common,,
WLC-Exod-025-016-008,אֵלֶֽיךָ,16,8,413,H413,HR/Sp2ms,HR/Sp2ms,Suffix (Pronominal),,,,2,Singular,,Masculine,,
17,17,17,,,,,,,,,,,,,,,
WLC-Exod-025-017-001,וְעָשִׂ֥יתָ,17,1,c/6213 a,H6213,HC/Vqq2ms,HC/Vqq2ms,Verb,Sequential perfect,Qal,Indicative,2,Singular,,Masculine,,
WLC-Exod-025-017-002,כַפֹּ֖רֶת,17,2,3727,H3727,HNcfsc,HNcfsc,Noun (Common),,,,,Singular,Construct,Feminine,,
WLC-Exod-025-017-003,זָהָ֣ב,17,3,2091,H2091,HNcmsa,HNcmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
WLC-Exod-025-017-004,טָה֑וֹר,17,4,2889,H2889,HAamsa,HAamsa,Adjective,,,,,Singular,Absolute,Masculine,,
WLC-Exod-025-017-005,אַמָּתַ֤יִם,17,5,520 a,H520,HNcfda,HNcfda,Noun (Common),,,,,Dual,Absolute,Feminine,,
WLC-Exod-025-017-006,וָחֵ֨צִי֙,17,6,c/2677,H2677,HC/Ncmsa,HC/Ncmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
WLC-Exod-025-017-007,אָרְכָּ֔הּ,17,7,753,H753,HNcmsc/Sp3fs,HNcmsc/Sp3fs,Suffix (Pronominal),,,,3,Singular,Construct,Feminine,,
WLC-Exod-025-017-008,וְאַמָּ֥ה,17,8,c/520 a,H520,HC/Ncfsa,HC/Ncfsa,Noun (Common),,,,,Singular,Absolute,Feminine,,
