LXX_key,LXX,WLC_key,WLC
LXX-Exod-025-012-007,καὶ,,
LXX-Exod-025-012-008,ἐπιθήσεις,,
LXX-Exod-025-012-009,ἐπὶ,WLC-Exod-025-012-001,וְיָצַ֣קְתָּ
LXX-Exod-025-012-010,τὰ,WLC-Exod-025-012-002,לּ֗וֹ
LXX-Exod-025-012-011,τέσσαρα,WLC-Exod-025-012-003,אַרְבַּע֙
LXX-Exod-025-012-012,κλίτη,WLC-Exod-025-012-004,טַבְּעֹ֣ת
LXX-Exod-025-012-013,δύο,WLC-Exod-025-012-005,זָהָ֔ב
LXX-Exod-025-012-014,δακτυλίους,WLC-Exod-025-012-006,וְנָ֣תַתָּ֔ה
LXX-Exod-025-012-015,ἐπὶ,WLC-Exod-025-012-007,עַ֖ל
LXX-Exod-025-012-016,τὸ,WLC-Exod-025-012-008,אַרְבַּ֣ע
LXX-Exod-025-012-017,κλίτος,WLC-Exod-025-012-009,פַּעֲמֹתָ֑יו
LXX-Exod-025-012-018,τὸ,WLC-Exod-025-012-010,וּשְׁתֵּ֣י
LXX-Exod-025-012-019,ἓν,WLC-Exod-025-012-011,טַבָּעֹ֗ת
LXX-Exod-025-012-020,καὶ,WLC-Exod-025-012-012,עַל
LXX-Exod-025-012-021,δύο,WLC-Exod-025-012-013,צַלְעוֹ֙
LXX-Exod-025-012-022,δακτυλίους,WLC-Exod-025-012-014,הָֽאֶחָ֔ת
LXX-Exod-025-012-023,ἐπὶ,WLC-Exod-025-012-015,וּשְׁתֵּי֙
LXX-Exod-025-012-024,τὸ,WLC-Exod-025-012-016,טַבָּעֹ֔ת
LXX-Exod-025-012-025,κλίτος,WLC-Exod-025-012-017,עַל
LXX-Exod-025-012-026,τὸ,WLC-Exod-025-012-018,צַלְע֖וֹ
LXX-Exod-025-012-027,δεύτερον,WLC-Exod-025-012-019,הַשֵּׁנִֽית
13,13,13,13
LXX-Exod-025-013-001,ποιήσεις,,
LXX-Exod-025-013-002,δὲ,,
LXX-Exod-025-013-003,ἀναφορεῖς,WLC-Exod-025-013-001,וְעָשִׂ֥יתָ
LXX-Exod-025-013-004,ξύλα,WLC-Exod-025-013-002,בַדֵּ֖י
LXX-Exod-025-013-005,ἄσηπτα,WLC-Exod-025-013-003,עֲצֵ֣י
LXX-Exod-025-013-006,καὶ,WLC-Exod-025-013-004,שִׁטִּ֑ים
LXX-Exod-025-013-007,καταχρυσώσεις,WLC-Exod-025-013-005,וְצִפִּיתָ֥
LXX-Exod-025-013-008,αὐτὰ,WLC-Exod-025-013-006,אֹתָ֖ם
LXX-Exod-025-013-009,χρυσίῳ,WLC-Exod-025-013-007,זָהָֽב
14,14,14,14
LXX-Exod-025-014-001,καὶ,,
LXX-Exod-025-014-002,εἰσάξεις,,
LXX-Exod-025-014-003,τοὺς,,
LXX-Exod-025-014-004,ἀναφορεῖς,,
LXX-Exod-025-014-005,εἰς,,
LXX-Exod-025-014-006,τοὺς,,
LXX-Exod-025-014-007,δακτυλίους,,
LXX-Exod-025-014-008,τοὺς,WLC-Exod-025-014-001,וְהֵֽבֵאתָ֤
LXX-Exod-025-014-009,ἐν,WLC-Exod-025-014-002,אֶת
LXX-Exod-025-014-010,τοῖς,WLC-Exod-025-014-003,הַבַּדִּים֙
LXX-Exod-025-014-011,κλίτεσι,WLC-Exod-025-014-004,בַּטַּבָּעֹ֔ת
